"ontological_category","semanticfield","id","description","name","Kinship","Number","Clothing","Speech","Time","Emotion","Body","physGeo","Plant","Animal","notes","included"
"Property","Spatial relations",721,"Being in a position comparatively close to the ground.","LOW",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Warfare and hunting",722,"The application of violent force to someone or something.","ATTACK",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Spatial relations",723,"A position or area in a space.","PLACE (POSITION)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Action/Process","Speech and language",724,"To look at and interpret letters or other information that is written.","READ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Kinship",725,"An older person (usually considered to be above the age of 60).","OLD PERSON",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Time",726,"A certain duration of time, a period of time.","WHILE",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"",TRUE
"Other","Cognition",727,"What one or ones (of those mentioned or implied).","WHICH",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Other","Quantity",728,"Having no predecessor. The ordinal number corresponding to one.","FIRST",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Time",729,"A period of time at the beginning of the day shortly before sunrise during which the light gradually becomes stronger.","DAWN",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"blanket yes on subsets of the timeline",TRUE
"Person/Thing","Animals",730,"Any reptile of the suborder Serpentes, typically having a scaly cylindrical limbless body, fused eyelids, and a jaw modified for swallowing large prey.","SNAKE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"",TRUE
"Person/Thing","Food and drink",731,"Any one of various liquids for drinking.","BEVERAGE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Other","Possession",732,"Belonging to the second person that is addressed by the first person.","YOUR (SINGULAR)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Action/Process","Possession",733,"To gain (success, payment) through applied effort or work.","EARN",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Action/Process","Basic actions and technology",734,"To create something by combining or assembling materials or parts or by changing it.","MAKE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Animals",735,"A solitary, mainly nocturnal bird of prey, belonging to the order Strigiformes; it has large forward-facing eyes and ears and a hawk-like beak, and it can turn its head 180 degrees around.","OWL",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"",TRUE
"Person/Thing","The house",736,"A small, usually uncultivated area adjoining or within the precincts of a house or other building.","YARD",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Action/Process","The physical world",737,"To start a fire or light a flame.","LIGHT (IGNITE)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Possession",738,"That which is considered to exist as a separate entity, quality or concept.","THING",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Action/Process","Food and drink",739,"To give food.","FEED",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Motion",740,"A vessel propelled by engines or sails for navigating on the water, especially a large vessel that can not be carried aboard another, as distinguished from a boat.","SHIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Action/Process","Motion",741,"To operate a vehicle.","DRIVE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Spatial relations",742,"Extreme part.","END (OF SPACE)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Time",743,"The last or final part.","END (OF TIME)",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"",TRUE
"Person/Thing","Food and drink",744,"Egg (either fertilized or not) from domesticated birds, most commonly hens, seen as food.","EGG",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","The house",745,"A flat, rigid, rectangular structure, fixed at right angles to a wall, and used to support, store or display objects.","SHELF",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Possession",746,"A place, especially a small building, for the retail sale of goods and services.","SHOP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Modern world",747,"A vehicle with two wheels in tandem, pedals connected to the rear wheel by a chain, handlebars for steering, and a saddlelike seat.","BICYCLE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Action/Process","Agriculture and vegetation",748,"To scatter or disperse seeds on a field.","SOW SEEDS",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Action/Process","Motion",749,"To go into.","ENTER",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Action/Process","Motion",750,"The event of moving to a lower position due to the effect of gravity.","DROP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Agriculture and vegetation",751,"A woody perennial plant, smaller than a tree, with several major branches arising from near the base of the main stem.","SHRUB",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"",TRUE
"Person/Thing","Possession",752,"An establishment, either physical or virtual, that sells goods or services to the public.","STORE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Cognition",753,"A student under the supervision of a teacher or professor.","PUPIL (STUDENT)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Action/Process","Time",754,"To move or do something at a fast pace.","HURRY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Action/Process","Speech and language",755,"To refuse strongly and solemnly to own or acknowledge.","DENY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Action/Process","Social and political relations",756,"To be connected with something as a cause of existence or as a necessary condition.","DEPEND",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Clothing and grooming",757,"A fastener consisting of a knob or disc that is passed through a slit in the adjacent material.","BUTTON",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Animals",758,"A long-legged, long-necked wading bird of the family Ardeidae.","HERON",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"",TRUE
"Person/Thing","Basic actions and technology",759,"A very ductile malleable brilliant greyish-white element with symbol Ar and atomic number 47 having the highest electrical and thermal conductivity of any metal.","SILVER",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
